Year	Month	Count	weigthedAverageTemp	energyDemandPwh
2000	1	1	2.21449126	0.0111795
2000	2	2	4.411722202	0.0108917
2000	3	3	6.472173775	0.0109016
2000	4	4	13.66268118	0.0097227
2000	5	5	16.32514153	0.0099286
2000	6	6	20.89376672	0.009989
2000	7	7	25.39759562	0.0111864
2000	8	8	24.19995759	0.0111898
2000	9	9	20.45242711	0.0104058
2000	10	10	15.05289542	0.010644
2000	11	11	12.01768485	0.0108502
2000	12	12	7.241476332	0.0113863
2001	1	13	7.161581238	0.0116879
2001	2	14	7.370453552	0.0105328
2001	3	15	12.85322981	0.009816
2001	4	16	14.03478918	0.0096885
2001	5	17	17.262924	0.0097429
2001	6	18	22.76927159	0.0099135
2001	7	19	27.05180505	0.0110766
2001	8	20	26.35452647	0.0112718
2001	9	21	22.52430903	0.0102347
2001	10	22	17.13758884	0.0104247
2001	11	23	10.42411972	0.0109742
2001	12	24	5.23848269	0.0115077
2002	1	25	3.039219881	0.011964
2002	2	26	8.254993118	0.009951
2002	3	27	10.06801548	0.0112149
2002	4	28	11.83245416	0.0106061
2002	5	29	17.78937342	0.010386
2002	6	30	23.09534547	0.0104351
2002	7	31	26.81046732	0.0117285
2002	8	32	25.10810233	0.0116468
2002	9	33	21.34108984	0.0105055
2002	10	34	17.06245045	0.0107702
2002	11	35	12.48683515	0.0112223
2002	12	36	4.968740555	0.0121222
2003	1	37	7.725832118	0.0123861
2003	2	38	2.718596131	0.0108592
2003	3	39	5.585252157	0.0123914
2003	4	40	10.70859115	0.0110454
2003	5	41	19.28972743	0.0109176
2003	6	42	23.63899969	0.0110851
2003	7	43	25.54490969	0.0124154
2003	8	44	26.15256744	0.0125613
2003	9	45	20.75800288	0.0114143
2003	10	46	17.16000103	0.0115789
2003	11	47	11.00641865	0.0114394
2003	12	48	6.721019748	0.0130568
2004	1	49	4.553075116	0.0129416
2004	2	50	5.421545672	0.0115079
2004	3	51	9.241217973	0.0125394
2004	4	52	12.93622044	0.0117823
2004	5	53	16.98971105	0.0118222
2004	6	54	21.9110019	0.0119258
2004	7	55	24.92216924	0.0132428
2004	8	56	24.65487449	0.0133046
2004	9	57	21.65765587	0.0125251
2004	10	58	17.76390013	0.0123262
2004	11	59	11.44730059	0.0121503
2004	12	60	7.073552085	0.0139493
2005	1	61	6.364031899	0.0132124
2005	2	62	5.430872346	0.0125239
2005	3	63	8.067001669	0.0134657
2005	4	64	13.07566692	0.0125339
2005	5	65	17.64072237	0.0127599
2005	6	66	21.45109678	0.0126029
2005	7	67	25.87488358	0.0142544
2005	8	68	26.36392371	0.014694
2005	9	69	21.65065036	0.0132834
2005	10	70	15.16638023	0.013407
2005	11	71	9.970441589	0.0133221
2005	12	72	7.798092857	0.0147344
2006	1	73	3.442050216	0.0141721
2006	2	74	5.109554455	0.0135403
2006	3	75	9.141003089	0.0144714
2006	4	76	13.66598478	0.0132775
2006	5	77	17.82528055	0.0138757
2006	6	78	22.92709061	0.0143361
2006	7	79	24.95567902	0.0154528
2006	8	80	27.3047345	0.0162672
2006	9	81	21.19483946	0.0143951
2006	10	82	16.99750759	0.0137353
2006	11	83	9.956825673	0.0150679
2006	12	84	6.315719117	0.0160459
2007	1	85	6.491106229	0.015685679
2007	2	86	6.811823217	0.014547954
2007	3	87	9.626422336	0.015622648
2007	4	88	11.9115881	0.014785827
2007	5	89	20.07412421	0.015112533
2007	6	90	24.65682729	0.015560418
2007	7	91	27.08121642	0.017491562
2007	8	92	27.06323607	0.017579501
2007	9	93	22.30096965	0.015636287
2007	10	94	18.09619315	0.015071156
2007	11	95	10.38156139	0.016103413
2007	12	96	6.252857283	0.016803236
2008	1	97	3.053124839	0.0179483
2008	2	98	5.129980525	0.0165041
2008	3	99	11.75130938	0.0162445
2008	4	100	15.14757016	0.0156523
2008	5	101	17.87435049	0.016284
2008	6	102	23.78099501	0.0165271
2008	7	103	25.98054301	0.0183085
2008	8	104	27.109901	0.0183918
2008	9	105	21.81297336	0.0160451
2008	10	106	17.01875866	0.014917
2008	11	107	12.7207008	0.01544604
2008	12	108	7.669860333	0.01581644
2009	1	109	6.346311668	0.016851416
2009	2	110	7.022082382	0.015010029
2009	3	111	8.379915811	0.015983711
2009	4	112	12.5452046	0.014849103
2009	5	113	18.32213837	0.015297715
2009	6	114	23.63390192	0.015899616
2009	7	115	26.1119418	0.017743508
2009	8	116	25.29891945	0.017704556
2009	9	117	21.05672876	0.015379301
2009	10	118	18.55117315	0.015989904
2009	11	119	11.82663674	0.015779291
2009	12	120	9.68397526	0.01759091
2010	1	121	6.677290023	0.017421708
2010	2	122	8.636664696	0.015745016
2010	3	123	9.727149261	0.017078834
2010	4	124	13.92969322	0.016313736
2010	5	125	19.16580257	0.016711662
2010	6	126	23.09656324	0.017143073
2010	7	127	26.39217069	0.019427951
2010	8	128	28.49222325	0.020453132
2010	9	129	23.1817037	0.017094002
2010	10	130	15.96632746	0.017318095
2010	11	131	14.93218657	0.016494856
2010	12	132	9.874660642	0.019231895
2011	1	133	6.025279699	0.019724373
2011	2	134	6.252830147	0.017790305
2011	3	135	8.300275275	0.019278117
2011	4	136	11.09733116	0.017923318
2011	5	137	16.93456699	0.017686346
2011	6	138	22.25113953	0.018002761
2011	7	139	26.69425217	0.021070042
2011	8	140	25.49757015	0.020673509
2011	9	141	23.15169024	0.018986104
2011	10	142	15.07471254	0.018934786
2011	11	143	8.473183306	0.019146615
2011	12	144	7.697008027	0.021090026
2012	1	145	3.889455811	0.021406128
2012	2	146	3.374061239	0.019994766
2012	3	147	7.222116316	0.020757882
2012	4	148	15.05310517	0.018254835
2012	5	149	18.30169039	0.018953659
2012	6	150	24.85460415	0.020100591
2012	7	151	27.7272284	0.022879951
2012	8	152	26.54324016	0.021539313
2012	9	153	23.1912923	0.019863007
2012	10	154	19.68936197	0.018217447
2012	11	155	13.93353509	0.019243717
2012	12	156	7.804184033	0.021158567
2013	1	157	6.266328375	0.021399408
2013	2	158	8.271136979	0.018873927
2013	3	159	10.40339234	0.020446656
