Year	Month1	Month2	Month3	Month4	Month5	Month6	Month7	Month8	Month9	Month10	Month11	Month12	bptdiff2	energyDemandTwh
0	1	0	0	0	0	0	0	0	0	0	0	0	0.752650539	0.111795
0	0	1	0	0	0	0	0	0	0	0	0	0	0.519945234	0.108917
0	0	0	1	0	0	0	0	0	0	0	0	0	0.340716013	0.109016
0	0	0	0	1	0	0	0	0	0	0	0	0	0.010887187	0.097227
0	0	0	0	0	1	0	0	0	0	0	0	0	0.005351753	0.099286
0	0	0	0	0	0	1	0	0	0	0	0	0	0.142680472	0.09989
0	0	0	0	0	0	0	1	0	0	0	0	0	0.459664945	0.111864
0	0	0	0	0	0	0	0	1	0	0	0	0	0.357775541	0.111898
0	0	0	0	0	0	0	0	0	1	0	0	0	0.121318496	0.104058
0	0	0	0	0	0	0	0	0	0	1	0	0	0.000135973	0.10644
0	0	0	0	0	0	0	0	0	0	0	1	0	0.045799469	0.108502
0	0	0	0	0	0	0	0	0	0	0	0	1	0.283473192	0.113863
0.04	1	0	0	0	0	0	0	0	0	0	0	0	0.289173282	0.116879
0.04	0	1	0	0	0	0	0	0	0	0	0	0	0.274391084	0.105328
0.04	0	0	1	0	0	0	0	0	0	0	0	0	0.025060507	0.09816
0.04	0	0	0	1	0	0	0	0	0	0	0	0	0.006325734	0.096885
0.04	0	0	0	0	1	0	0	0	0	0	0	0	0.018407572	0.097429
0.04	0	0	0	0	0	1	0	0	0	0	0	0	0.252771987	0.099135
0.04	0	0	0	0	0	0	1	0	0	0	0	0	0.621364195	0.110766
0.04	0	0	0	0	0	0	0	1	0	0	0	0	0.550239552	0.112718
0.04	0	0	0	0	0	0	0	0	1	0	0	0	0.236617558	0.102347
0.04	0	0	0	0	0	0	0	0	0	1	0	0	0.016210084	0.104247
0.04	0	0	0	0	0	0	0	0	0	0	1	0	0.102557359	0.109742
0.04	0	0	0	0	0	0	0	0	0	0	0	1	0.443495948	0.115077
0.08	1	0	0	0	0	0	0	0	0	0	0	0	0.660273963	0.11964
0.08	0	1	0	0	0	0	0	0	0	0	0	0	0.216089445	0.09951
0.08	0	0	1	0	0	0	0	0	0	0	0	0	0.118326411	0.112149
0.08	0	0	0	1	0	0	0	0	0	0	0	0	0.051237409	0.106061
0.08	0	0	0	0	1	0	0	0	0	0	0	0	0.02916278	0.10386
0.08	0	0	0	0	0	1	0	0	0	0	0	0	0.275102982	0.104351
0.08	0	0	0	0	0	0	1	0	0	0	0	0	0.596257928	0.117285
0.08	0	0	0	0	0	0	0	1	0	0	0	0	0.433867766	0.116468
0.08	0	0	0	0	0	0	0	0	1	0	0	0	0.166098819	0.105055
0.08	0	0	0	0	0	0	0	0	0	1	0	0	0.014959639	0.107702
0.08	0	0	0	0	0	0	0	0	0	0	1	0	0.033390771	0.112223
0.08	0	0	0	0	0	0	0	0	0	0	0	1	0.46777081	0.121222
0.12	1	0	0	0	0	0	0	0	0	0	0	0	0.250131637	0.123861
0.12	0	1	0	0	0	0	0	0	0	0	0	0	0.695468186	0.108592
0.12	0	0	1	0	0	0	0	0	0	0	0	0	0.413239345	0.123914
0.12	0	0	0	1	0	0	0	0	0	0	0	0	0.090770252	0.110454
0.12	0	0	0	0	1	0	0	0	0	0	0	0	0.073329788	0.109176
